ids,Th1,Th10,Th11,Th12,Th13,Th14,Th15,Th16,Th18,Th2,Th20,Th21,Th22,Th23,Th25,Th26,Th27,Th29,Th3,Th30,Th31,Th32,Th33,Th34,Th35,Th36,Th37,Th38,Th39,Th41,Th42,Th45,Th47,Th48,Th49,Th5,Th50,Th51,Th7,Th9
69371,67,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,100,0,0,35,0,0,0,0,0,0,0,0,0,0,0
22770,0,46,29,0,0,0,0,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,46,0,0
97542,0,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,89,0,0,0,0,0,0
71309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,71,0,0,0,0,0,0,0,0,0,0,0
1229,67,0,39,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,100,0,0,0,0,0,0,0,81,0,0,0,0,0,0
75532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,100,0,0,0,0,0,0,0
8384,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
74416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
7348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,100,0,0,0,0,0,0
77400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
20887,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
50950,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54311,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
88086,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,36,0,0,0,33,68,0,0,0,0,0,0
14220,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9699,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6284,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
25496,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64077,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36634,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0,0
